<<<<<<<<<<

1. НУ      : Vпр = 120 км/ч , Hа = 200 м , САУ : стаб Углов, Vпр
   Задание : отработка САУ перехода по Hа : 200м --> 600м

Thu Apr 05 14:13:48 2018
  iSOK Time_SPNM     xrK     xrT    rddr    aShG    ShNV     Ha       V      Vpr      Vy     kur        gam        tng        psi        tet        alf      bet     snos       wx       wy       wz      ax1      ay1      az1      Pst         q       Gp      Tnv      Trv     fig         lag      SO HH:MM:SS:MS
     40  917.480   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09868    1.68828  358.66257    0.00107    1.683    2.633    0.013    0.000   -0.000   -0.000    0.290    9.801    0.005  742.153     68.7   9727.3   9682.6    354.9   42.6851207  39.9475979 0 00:15:17.480
     41  917.500   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68827  358.66257    0.00103    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851267  39.9475981 0 00:15:17.500
     42  917.520   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68826  358.66256    0.00098    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851327  39.9475983 0 00:15:17.520
     43  917.540   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68825  358.66255    0.00094    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851387  39.9475985 0 00:15:17.540
     44  917.560   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68824  358.66255    0.00090    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.6    354.9   42.6851448  39.9475987 0 00:15:17.560
     45  917.580   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68823  358.66254    0.00085    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.6    354.9   42.6851508  39.9475989 0 00:15:17.580
     46  917.600   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68822  358.66254    0.00081    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.6    354.9   42.6851568  39.9475990 0 00:15:17.600
     47  917.620   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68821  358.66253    0.00077    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851628  39.9475992 0 00:15:17.620
     48  917.640   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68819  358.66253    0.00072    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851689  39.9475994 0 00:15:17.640
     49  917.660   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68818  358.66252    0.00068    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851749  39.9475996 0 00:15:17.660
     50  917.680   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68817  358.66252    0.00063    1.683    2.633    0.013    0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851809  39.9475998 0 00:15:17.680
     51  917.700   13.65  -43.16   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29279    0.09869    1.68816  358.66251    0.00059    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851869  39.9476000 0 00:15:17.700
     52  917.720   13.65  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68814  358.66250    0.00055    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851930  39.9476002 0 00:15:17.720
     53  917.740   13.65  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68813  358.66250    0.00050    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6851990  39.9476004 0 00:15:17.740
     54  917.760   13.65  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68812  358.66249    0.00046    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6852050  39.9476006 0 00:15:17.760
